date,trx_no,account,particular,dr_amount,cr_amount
2025-03-26,0053,CB01,RCPT-RETAINER CLIENT B,5500.00,0.00
2025-03-26,0053,AR01,RCPT-RETAINER CLIENT B,0.00,5500.00
2025-03-31,0054,EX01,SALARIES MAR 2025,18500.00,0.00
2025-03-31,0054,CB01,SALARIES MAR 2025,0.00,14800.00
2025-03-31,0054,CP01,SALARIES MAR 2025,0.00,3700.00
2025-03-31,0055,EX02,CPF EMPLOYER MAR 2025,3145.00,0.00
2025-03-31,0055,CP01,CPF EMPLOYER MAR 2025,0.00,3145.00
2025-03-31,0056,EX09,DEPRECIATION MAR 2025,200.00,0.00
2025-03-31,0056,DA01,DEPRECIATION MAR 2025,0.00,200.00
2025-03-31,0056,EX10,DEPRECIATION MAR 2025,150.00,0.00
2025-03-31,0056,DA02,DEPRECIATION MAR 2025,0.00,150.00
2025-03-31,0057,CB02,INTEREST MAR 2025,125.00,0.00
2025-03-31,0057,OI01,INTEREST MAR 2025,0.00,125.00
